Video ID,Type,Video URL,Created Date,12/01/2025 Views,12/01/2025 Likes,12/01/2025 Comments,12/01/2025 Shares,12/02/2025 Views,12/02/2025 Likes,12/02/2025 Comments,12/02/2025 Shares,12/02/2025 Views,12/02/2025 Likes,12/02/2025 Comments,12/02/2025 Shares,12/02/2025 Views,12/02/2025 Likes,12/02/2025 Comments,12/02/2025 Shares,12/02/2025 Views,12/02/2025 Likes,12/02/2025 Comments,12/02/2025 Shares,12/02/2025 Views,12/02/2025 Likes,12/02/2025 Comments,12/02/2025 Shares,12/02/2025 Views,12/02/2025 Likes,12/02/2025 Comments,12/02/2025 Shares,12/02/2025 Views,12/02/2025 Likes,12/02/2025 Comments,12/02/2025 Shares,12/02/2025 Views,12/02/2025 Likes,12/02/2025 Comments,12/02/2025 Shares,12/02/2025 Views,12/02/2025 Likes,12/02/2025 Comments,12/02/2025 Shares,12/02/2025 Views,12/02/2025 Likes,12/02/2025 Comments,12/02/2025 Shares,12/02/2025 Views,12/02/2025 Likes,12/02/2025 Comments,12/02/2025 Shares,12/03/2025 Views,12/03/2025 Likes,12/03/2025 Comments,12/03/2025 Shares,12/03/2025 Views,12/03/2025 Likes,12/03/2025 Comments,12/03/2025 Shares,12/03/2025 Views,12/03/2025 Likes,12/03/2025 Comments,12/03/2025 Shares,12/03/2025 Views,12/03/2025 Likes,12/03/2025 Comments,12/03/2025 Shares,12/03/2025 Views,12/03/2025 Likes,12/03/2025 Comments,12/03/2025 Shares,12/03/2025 Views,12/03/2025 Likes,12/03/2025 Comments,12/03/2025 Shares,12/03/2025 Views,12/03/2025 Likes,12/03/2025 Comments,12/03/2025 Shares,12/03/2025 Views,12/03/2025 Likes,12/03/2025 Comments,12/03/2025 Shares,12/03/2025 Views,12/03/2025 Likes,12/03/2025 Comments,12/03/2025 Shares,12/03/2025 Views,12/03/2025 Likes,12/03/2025 Comments,12/03/2025 Shares,12/03/2025 Views,12/03/2025 Likes,12/03/2025 Comments,12/03/2025 Shares,12/04/2025 Views,12/04/2025 Likes,12/04/2025 Comments,12/04/2025 Shares,12/04/2025 Views,12/04/2025 Likes,12/04/2025 Comments,12/04/2025 Shares,12/04/2025 Views,12/04/2025 Likes,12/04/2025 Comments,12/04/2025 Shares,12/04/2025 Views,12/04/2025 Likes,12/04/2025 Comments,12/04/2025 Shares,12/04/2025 Views,12/04/2025 Likes,12/04/2025 Comments,12/04/2025 Shares,12/04/2025 Views,12/04/2025 Likes,12/04/2025 Comments,12/04/2025 Shares,12/04/2025 Views,12/04/2025 Likes,12/04/2025 Comments,12/04/2025 Shares,12/04/2025 Views,12/04/2025 Likes,12/04/2025 Comments,12/04/2025 Shares,12/04/2025 Views,12/04/2025 Likes,12/04/2025 Comments,12/04/2025 Shares,12/04/2025 Views,12/04/2025 Likes,12/04/2025 Comments,12/04/2025 Shares,12/04/2025 Views,12/04/2025 Likes,12/04/2025 Comments,12/04/2025 Shares,12/04/2025 Views,12/04/2025 Likes,12/04/2025 Comments,12/04/2025 Shares,12/05/2025 Views,12/05/2025 Likes,12/05/2025 Comments,12/05/2025 Shares,12/05/2025 Views,12/05/2025 Likes,12/05/2025 Comments,12/05/2025 Shares,12/05/2025 Views,12/05/2025 Likes,12/05/2025 Comments,12/05/2025 Shares,12/05/2025 Views,12/05/2025 Likes,12/05/2025 Comments,12/05/2025 Shares,12/05/2025 Views,12/05/2025 Likes,12/05/2025 Comments,12/05/2025 Shares,12/05/2025 Views,12/05/2025 Likes,12/05/2025 Comments,12/05/2025 Shares,12/05/2025 Views,12/05/2025 Likes,12/05/2025 Comments,12/05/2025 Shares,12/05/2025 Views,12/05/2025 Likes,12/05/2025 Comments,12/05/2025 Shares,12/05/2025 Views,12/05/2025 Likes,12/05/2025 Comments,12/05/2025 Shares,12/05/2025 Views,12/05/2025 Likes,12/05/2025 Comments,12/05/2025 Shares,12/05/2025 Views,12/05/2025 Likes,12/05/2025 Comments,12/05/2025 Shares
7400175263889378590,Original,https://www.tiktok.com/@herbalvineyards/video/7400175263889378590,08/07/2024,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56,21400,310,17,56
7400476457333460255,Original,https://www.tiktok.com/@herbalvineyards/video/7400476457333460255,08/07/2024,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740,854400,6955,314,740
7400870632294010143,Original,https://www.tiktok.com/@herbalvineyards/video/7400870632294010143,08/09/2024,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60,44600,473,15,60
7401197319611288863,Original,https://www.tiktok.com/@herbalvineyards/video/7401197319611288863,08/09/2024,103500,785,21,78,103500,785,21,78,103500,785,21,78,103500,785,21,78,103500,785,21,78,103500,785,21,78,103500,785,21,78,103500,785,21,78,103500,785,21,78,103500,785,21,78,103500,785,21,78,103500,785,21,78,103500,785,21,78,103500,785,21,78,103500,785,21,78,103500,785,21,78,103500,785,21,78,103500,785,21,78,103500,785,21,78,103500,785,21,78,103500,785,21,78,103500,785,21,78,103500,785,21,78,103500,785,21,78,103500,785,21,78,103500,785,21,78,103500,785,21,78,103500,785,21,78,103500,785,21,78,103500,785,21,78,103500,785,21,78,103500,785,21,78,103500,785,21,78,103500,785,21,78,103500,785,21,78,103500,785,21,78,103500,785,21,78,103500,785,21,78,103500,785,21,79,103500,785,21,79,103500,785,21,79,103500,785,21,79,103500,785,21,79,103500,785,21,79,103500,785,21,79,103500,785,21,79
7415980298665594158,Original,https://www.tiktok.com/@herbalvineyards/video/7415980298665594158,09/18/2024,17700,207,6,20,17700,207,6,20,17700,207,6,20,17700,207,6,20,17700,207,6,20,17700,207,6,20,17700,207,6,20,17700,207,6,20,17700,207,6,20,17700,207,6,20,17700,207,6,20,17700,207,6,20,17700,207,6,20,17700,207,6,20,17700,207,6,20,17700,207,6,20,17700,207,6,20,17700,207,6,20,17700,207,6,20,17700,207,6,20,17700,207,6,20,17700,207,6,20,17700,207,6,20,17700,207,6,20,17700,207,6,20,17700,207,6,20,17700,207,6,20,17700,207,6,20,17700,207,6,20,17700,207,6,20,17700,207,6,20,17700,207,6,20,17700,207,6,20,17700,207,6,20,17700,207,6,20,17700,207,6,20,17700,207,6,20,17700,207,6,20,17700,208,6,20,17700,208,6,20,17700,208,6,20,17700,208,6,20,17700,208,6,20,17700,208,6,20,17700,208,6,20,17700,208,6,20
7426811430273355038,Original,https://www.tiktok.com/@herbalvineyards/video/7426811430273355038,10/17/2024,5500000,82800,3143,7989,5500000,82800,3143,7989,5500000,82800,3143,7989,5500000,82800,3143,7990,5500000,82800,3143,7991,5500000,82800,3144,7991,5500000,82800,3144,7991,5500000,82900,3144,7991,5500000,82900,3144,7991,5500000,82900,3144,7991,5500000,82900,3144,7991,5500000,82900,3144,7992,5500000,82900,3145,7993,5500000,82900,3145,7993,5500000,82900,3145,7993,5500000,82900,3145,7995,5500000,82900,3145,7995,5500000,82900,3145,7995,5500000,82900,3145,7998,5500000,82900,3145,7999,5500000,82900,3148,8000,5500000,82900,3148,8002,5500000,82900,3148,8004,5500000,83000,3148,8005,5500000,83000,3149,8006,5500000,83000,3150,8009,5500000,83000,3151,8010,5500000,83000,3151,8012,5500000,83000,3151,8012,5500000,83000,3151,8012,5500000,83000,3151,8013,5500000,83100,3151,8013,5500000,83100,3151,8014,5500000,83100,3151,8014,5500000,83100,3151,8014,5500000,83100,3154,8014,5500000,83100,3154,8014,5500000,83100,3154,8016,5500000,83100,3155,8021,5600000,83100,3155,8023,5600000,83100,3156,8026,5600000,83200,3156,8031,5600000,83200,3157,8031,5600000,83200,3157,8031,5600000,83200,3157,8031,5600000,83200,3157,8031
7428301475203321118,Original,https://www.tiktok.com/@herbalvineyards/video/7428301475203321118,10/21/2024,256800,4598,138,225,256800,4598,138,225,256800,4598,138,225,256900,4598,138,225,257000,4600,138,225,257100,4600,138,225,257200,4600,139,225,257200,4600,139,225,257200,4600,139,225,257300,4600,139,225,257300,4600,139,225,257400,4601,139,226,257400,4601,139,226,257400,4601,139,226,257500,4601,139,226,257500,4601,139,226,257500,4601,139,226,257500,4601,139,226,257500,4601,139,226,257500,4601,139,226,257600,4602,139,226,257600,4602,139,226,257600,4603,139,227,257600,4603,139,227,257700,4604,139,227,257700,4604,139,227,257700,4605,139,227,257700,4605,139,227,257800,4606,139,227,257800,4606,139,227,257800,4607,139,227,257800,4607,139,227,257800,4607,139,228,257800,4607,139,228,257900,4607,139,228,257900,4607,139,228,257900,4608,139,228,258000,4610,139,228,258000,4610,139,228,258100,4611,139,228,258200,4611,139,228,258300,4612,139,228,258400,4612,139,228,258400,4612,139,228,258400,4612,140,228,258500,4612,142,228
7430900061694954782,Original,https://www.tiktok.com/@herbalvineyards/video/7430900061694954782,10/28/2024,193900,5039,290,184,193900,5039,290,184,194000,5040,290,184,194000,5040,290,184,194100,5041,290,184,194200,5043,290,184,194200,5043,290,184,194300,5043,290,184,194300,5043,290,184,194300,5043,290,184,194300,5046,290,185,194400,5047,290,185,194400,5047,290,185,194400,5048,290,185,194400,5049,290,185,194400,5049,290,185,194400,5050,290,185,194500,5050,290,185,194500,5050,290,185,194500,5050,290,185,194500,5052,290,185,194600,5053,290,185,194600,5053,290,185,194700,5053,290,185,194700,5054,291,186,194800,5054,291,186,194900,5057,291,186,195000,5058,291,186,195000,5058,291,186,195000,5058,291,186,195000,5059,291,186,195100,5060,291,186,195100,5060,291,186,195100,5060,291,186,195200,5061,291,186,195200,5061,291,186,195300,5061,291,186,195400,5061,291,186,195500,5062,291,186,195500,5062,291,186,195600,5064,291,186,195700,5066,291,186,195800,5067,291,186,195800,5067,291,186,195800,5068,291,186,195900,5068,291,186
7432053812006882590,Original,https://www.tiktok.com/@herbalvineyards/video/7432053812006882590,11/01/2024,5000000,164900,1655,4139,5000000,164900,1655,4139,5000000,164900,1655,4139,5000000,164900,1655,4139,5000000,164900,1655,4139,5000000,164900,1655,4140,5000000,164900,1655,4140,5000000,164900,1655,4140,5000000,164900,1655,4140,5000000,164900,1655,4140,5000000,164900,1655,4140,5000000,164900,1655,4140,5000000,164900,1655,4140,5000000,164900,1655,4140,5000000,164900,1655,4140,5000000,164900,1655,4140,5000000,164900,1655,4140,5000000,164900,1655,4140,5000000,164900,1655,4140,5000000,164900,1655,4140,5000000,164900,1655,4140,5000000,164900,1655,4140,5000000,164900,1655,4140,5000000,164900,1655,4140,5000000,164900,1655,4140,5000000,164900,1655,4140,5000000,164900,1654,4140,5000000,164900,1654,4140,5000000,164900,1654,4140,5000000,164900,1654,4140,5000000,164900,1654,4140,5000000,164900,1654,4140,5000000,164900,1654,4140,5000000,164900,1654,4140,5000000,164900,1654,4140,5000000,164900,1654,4140,5000000,164900,1654,4140,5000000,164900,1654,4140,5000000,164900,1654,4140,5000000,164900,1654,4140,5000000,164900,1654,4140,5000000,164900,1654,4140,5000000,164900,1654,4140,5000000,164900,1654,4140,5000000,164900,1654,4140,5000000,164900,1654,4140
7432432580164668703,Original,https://www.tiktok.com/@herbalvineyards/video/7432432580164668703,11/02/2024,1300000,12900,560,871,1300000,12900,560,871,1300000,12900,560,871,1300000,12900,560,871,1300000,12900,560,871,1300000,12900,560,871,1300000,12900,560,871,1300000,12900,560,871,1300000,12900,560,871,1300000,12900,560,871,1300000,12900,560,871,1300000,12900,560,871,1300000,12900,560,871,1300000,12900,560,871,1300000,12900,560,871,1300000,12900,560,871,1300000,12900,560,871,1300000,12900,560,871,1300000,12900,560,871,1300000,12900,560,871,1300000,12900,560,871,1300000,12900,560,871,1300000,12900,560,871,1300000,12900,560,871,1300000,12900,560,871,1300000,12900,560,871,1300000,12900,560,871,1300000,12900,560,871,1300000,12900,560,872,1300000,12900,560,872,1300000,12900,560,872,1300000,12900,560,872,1300000,12900,560,872,1300000,12900,560,872,1300000,12900,560,872,1300000,12900,560,872,1300000,12900,560,872,1300000,12900,560,872,1300000,12900,560,872,1300000,12900,560,872,1300000,12900,560,872,1300000,12900,560,872,1300000,12900,560,872,1300000,12900,560,872,1300000,12900,560,872,1300000,12900,560,872
7433537648876211486,Original,https://www.tiktok.com/@herbalvineyards/video/7433537648876211486,11/05/2024,168600,1852,86,103,168600,1852,86,103,168700,1852,86,103,168700,1854,86,103,168800,1855,86,103,169000,1856,86,103,169000,1856,86,104,169100,1856,86,104,169100,1856,86,104,169100,1857,86,104,169200,1857,86,104,169200,1857,86,104,169300,1857,86,104,169300,1858,86,104,169400,1858,86,104,169400,1859,86,104,169500,1859,86,104,169600,1860,86,104,169600,1860,86,104,169600,1861,86,104,169700,1862,86,104,169800,1863,86,104,169800,1863,86,104,169900,1863,86,104,170000,1863,86,104,170000,1863,86,104,170100,1864,86,104,170200,1865,86,104,170300,1865,86,104,170300,1865,86,104,170300,1865,86,104,170400,1866,86,104,170400,1866,86,104,170500,1866,86,104,170600,1868,86,104,170700,1869,86,104,170700,1870,86,104,170800,1870,86,104,170900,1870,86,104,170900,1870,86,104,171000,1870,86,104,171100,1871,86,105,171100,1872,86,105,171200,1874,86,105,171200,1874,86,105,171200,1874,86,105
